,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.timings,restaurant.all_reviews_count,restaurant.user_rating.votes,restaurant.location.latitude,restaurant.location.longitude,coordinate,Arts_Entertainment,College_University,Event,Nightlife_Spot,Outdoors_Recreation,Professional_n_Other_Places,Shop_Service,Travel_Transport,Residence
33,Mr Gs Restaurant,"BBQ, Italian, Pizza",10,3.5,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",16,100.0,33.2375,-87.5676,"(33.2375, -87.5676)",0,0,0,0,3,0,0,2,1
34,Full Moon Bar B Que,BBQ,25,3.4,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",28,86.0,33.197183,-87.508608,"(33.197183, -87.508608)",0,0,0,0,0,0,0,1,2
35,Evangeline's,"American, Seafood",40,3.4,"(Sun),Dinner (Mon),Lunch, Dinner (Tue-Thu),Lunch, Dinner, Late (Fri),Dinner, Late (Sat)",28,73.0,33.2337,-87.5416,"(33.2337, -87.5416)",1,0,0,0,2,3,0,1,0
36,Archibald & Woodrow's BBQ,BBQ,10,3.5,"10 AM to 9 PM (Mon-Thu), 10 AM to 10 PM (Fri-Sat), 11 AM to 6 PM (Sun)",19,79.0,33.16816,-87.54553,"(33.16816, -87.54553)",2,0,0,0,1,2,1,4,1
37,Another Broken Egg Cafe,"American, Breakfast, Coffee and Tea",25,3.4,"Breakfast, Lunch (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",20,70.0,33.2289851,-87.5105752,"(33.2289851, -87.5105752)",0,0,0,0,0,2,0,0,2
38,Moe's Original Bar B Que,BBQ,25,3.4,"Lunch, Dinner (Sun),Lunch, Dinner, Late (Mon-Sat)",26,78.0,33.21086,-87.564335,"(33.21086, -87.564335)",10,0,2,21,3,7,3,7,2
39,Archibald's BBQ,BBQ,10,3.5,"Closed (Mon, Sun), 10:30 AM to 8 PM (Tue-Thu),10:30 AM to 9 PM (Fri-Sat)",21,83.0,33.22845,-87.571453,"(33.22845, -87.571453)",1,0,0,0,0,0,0,0,0
40,Swen Chinese Restaurant,Chinese,10,3.5,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",13,75.0,33.240813,-87.589442,"(33.240813, -87.589442)",0,0,0,0,0,0,0,1,0
41,Taco Casa,"Fast Food, Mexican",10,3.4,"10:30 AM to 11 PM (Mon, Tue, Wed, Thu, Sun), 10:30 AM to 12 Midnight (Fri-Sat)",10,85.0,33.196914,-87.528507,"(33.196914, -87.528507)",0,1,0,1,3,2,15,0,3
42,Five Guys Burgers and Fries,"Fast Food, Burger",15,3.5,11 AM to 10 PM (Mon-Sun),6,87.0,33.194113,-87.52776,"(33.194113, -87.52776)",0,1,0,1,3,3,17,0,3
43,Sweet Home Food Bar,"Breakfast, Tapas",25,3.3,"9 AM to 3 PM (Mon, Wed), 9 AM to 3 PM, 5:30 PM to 9 PM (Thu-Fri), 8 AM to 3 PM, 5:30 PM to 9 PM (Sat), 10 AM to 3 PM (Sun), Tue Closed",29,54.0,33.210603,-87.566415,"(33.210603, -87.566415)",10,0,2,17,3,7,2,7,1
44,Big Daddy's Cafe,"American, Greek, Mediterranean",10,3.5,"Lunch, Dinner (Sun, Mon, Tue, Wed), Lunch, Dinner, Late (Thu-Sat)",12,73.0,33.209582,-87.568371,"(33.209582, -87.568371)",11,0,2,17,3,6,2,7,1
45,Jason's Deli,"Sandwich, Vegetarian",10,3.5,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",8,77.0,33.1883,-87.5263,"(33.1883, -87.5263)",1,1,0,1,2,1,12,0,1
46,Pearl Garden,Chinese,10,3.4,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",11,56.0,33.2345,-87.5756,"(33.2345, -87.5756)",0,0,0,0,0,0,2,3,0
47,Hoo's Q,"American, BBQ, Southern",25,3.3,10:30 AM to 9 PM (Mon-Sun),23,52.0,33.197688,-87.535174,"(33.197688, -87.535174)",0,0,0,2,3,2,10,1,2
48,Dreamland BBQ Northport,BBQ,10,3.4,"10 AM to 9 PM (Mon-Thu), 10 AM to 10 PM (Fri-Sat), 11 AM to 9 PM (Sun)",13,64.0,33.216,-87.57386,"(33.216, -87.57386)",10,0,1,14,1,3,2,6,0
49,Jim 'N Nick's Bar-B-Q,BBQ,25,3.4,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",15,60.0,33.2129124,-87.5649758,"(33.2129124, -87.5649758)",9,0,2,19,3,6,3,7,1
50,Taziki's Mediterranean Cafe,"American, Greek, Mediterranean",10,3.4,"11 AM to 9 PM (Mon-Sat), 11 AM to 8 PM (Sun)",14,61.0,33.1942195,-87.5278996,"(33.1942195, -87.5278996)",0,1,0,1,3,3,17,0,3
51,LongHorn Steakhouse,"Burger, Bar Food, Steak",40,3.4,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",13,63.0,33.19726,-87.52569,"(33.19726, -87.52569)",0,1,0,1,3,3,16,1,4
52,Taco Mama,"Mexican, Southwestern",10,3.3,"11 AM to 9 PM (Mon, Tue, Wed, Sun), 11 AM to 10 PM (Thu-Sat)",17,52.0,33.2109857,-87.5645283,"(33.2109857, -87.5645283)",10,0,2,21,3,7,3,7,2
53,Buddy's Rib & Steak,"BBQ, Breakfast, Steak",25,3.3,"(Sun),Breakfast, Lunch, Dinner (Mon-Sat)",18,51.0,33.2378,-87.5767,"(33.2378, -87.5767)",0,0,0,0,0,0,2,3,0
54,Jimmy John's,Sandwich,10,3.4,,7,68.0,33.2114,-87.5553,"(33.2114, -87.5553)",7,16,1,11,4,3,3,1,1
55,Panera Bread,Sandwich,10,3.4,"6 AM to 10 PM (Mon-Fri), 6:30 AM to 9:30 PM (Sat), 7 AM to 10 PM (Sun)",6,68.0,33.19411,-87.52775,"(33.19411, -87.52775)",0,1,0,1,3,3,17,0,3
56,Jalapeños Mexican Grill,Mexican,10,3.5,"11 AM to 2 PM, 5 PM to 9:30 PM (Mon-Thu),11 AM to 2 PM, 5 PM to 10:30 PM (Fri),11:30 AM to 10:30 PM (Sat),11:30 AM to 9:30 PM (Sun)",8,57.0,33.3024,-87.6061,"(33.3024, -87.6061)",0,0,0,0,0,0,0,0,0
57,Outback Steakhouse,Steak,40,3.4,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",9,62.0,33.1657,-87.55187,"(33.1657, -87.55187)",2,0,0,0,1,0,1,3,0
58,T-Town Cafe,"American, Diner, Southern",10,3.4,"10:30 AM to 3 PM (Mon-Fri, Sun), Sat Closed",16,51.0,33.20013,-87.54322,"(33.20013, -87.54322)",2,4,0,1,1,3,1,1,4
59,The Side by Side,"American, French, Seafood",70,3.3,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",22,37.0,33.210124,-87.567048,"(33.210124, -87.567048)",11,0,2,17,3,6,2,7,1
60,Innisfree Irish Pub,"Bar Food, Sandwich",10,3.4,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",12,56.0,33.211522,-87.561927,"(33.211522, -87.561927)",9,0,2,24,3,5,4,7,1
61,Billy's Sports Grill,"American, Burger, Bar Food",40,3.2,"11 AM to 9 PM (Tue-Sat), 10:30 AM to 6 PM (Sun), Mon Closed",17,41.0,33.218853,-87.578778,"(33.218853, -87.578778)",4,0,1,1,0,1,0,2,0
62,Wilhagan's of Tuscaloosa,"American, Burger, Bar Food",10,3.4,"Lunch, Dinner (Sun),Lunch, Dinner, Late (Mon-Sat)",10,57.0,33.211402,-87.566155,"(33.211402, -87.566155)",10,0,2,17,3,7,2,7,1
63,Manna Grocery and Deli,"Sandwich, Vegetarian, Deli",10,3.4,"11 AM to 2:30 PM (Mon-Sat),Closed (Sun)",7,47.0,33.189342,-87.526321,"(33.189342, -87.526321)",1,1,0,1,2,1,13,0,1
64,Oasis Bar & Grill,"American, Burger",25,3.4,"Closed (Mon),10:30 AM to 12 Midnight (Tue-Sun)",13,34.0,33.1901101,-87.4486035,"(33.1901101, -87.4486035)",0,0,0,0,0,0,0,1,0
65,Chick-fil-A,Fast Food,10,3.4,"6 AM to 9 PM (Mon-Thu),6 AM to 10 PM (Fri-Sat),Closed (Sun)",3,56.0,33.1923,-87.5262,"(33.1923, -87.5262)",1,1,0,2,2,2,17,0,2
66,Mr Bill's Family Dining,"American, Diner, Southern",10,3.4,"10:30 AM to 8 PM (Mon-Fri),Closed (Sat-Sun)",12,49.0,33.2406,-87.5841,"(33.2406, -87.5841)",0,0,0,0,0,0,2,2,0
